model,dataset,split_seed,test_fold,training_seed,num_folds,inner_val_ratio,hidden_dim,batch_size,learning_rate,epochs,model_dropout,weight_decay,heads,attention_dropout,negative_slope,add_self_loops,best_epoch,best_val_loss,best_val_accuracy,test_loss,test_accuracy
gat,MUTAG,0,0,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,39,0.4009672701358795,1.0,0.6763857007026672,0.6
gat,MUTAG,0,1,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,41,0.4716842770576477,0.9375,0.5176346898078918,0.75
gat,MUTAG,0,2,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,97,0.4149697422981262,0.875,0.46583375334739685,0.8
gat,MUTAG,0,3,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,42,0.5208871364593506,0.8125,0.5822005867958069,0.7368421052631579
gat,MUTAG,0,4,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,40,0.5948807001113892,0.75,0.4712439179420471,0.7894736842105263
gat,MUTAG,0,5,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,100,0.4518289864063263,0.8125,0.5986482501029968,0.7222222222222222
gat,MUTAG,0,6,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,41,0.5359052419662476,0.8125,0.5117630362510681,0.6111111111111112
gat,MUTAG,0,7,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,38,0.539431095123291,0.8125,0.5971542000770569,0.6111111111111112
gat,MUTAG,0,8,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,100,0.4594612717628479,0.8125,0.4440702199935913,0.7222222222222222
gat,MUTAG,0,9,0,10,0.1,32,32,0.001,100,0.0,0.0,4,0.0,0.2,True,100,0.5456639528274536,0.6875,0.40696120262145996,0.8888888888888888
