model,dataset,split_seed,test_fold,training_seed,num_folds,inner_val_ratio,hidden_dim,batch_size,learning_rate,epochs,model_dropout,weight_decay,heads,attention_dropout,negative_slope,add_self_loops,best_epoch,best_val_loss,best_val_accuracy,test_loss,test_accuracy
gcn,MUTAG,0,0,0,10,0.1,32,32,0.001,100,0.0,0.0,,,,,27,0.3805077075958252,1.0,0.6675411462783813,0.6
gcn,MUTAG,0,0,1,10,0.1,32,32,0.001,100,0.0,0.0,,,,,42,0.3388577103614807,1.0,0.707392692565918,0.55
gcn,MUTAG,0,0,2,10,0.1,32,32,0.001,100,0.0,0.0,,,,,37,0.34026578068733215,1.0,0.7030327916145325,0.6
gcn,MUTAG,0,0,3,10,0.1,32,32,0.001,100,0.0,0.0,,,,,34,0.3737694025039673,1.0,0.6764378547668457,0.6
gcn,MUTAG,0,0,4,10,0.1,32,32,0.001,100,0.0,0.0,,,,,34,0.35628512501716614,1.0,0.6896108388900757,0.55
gcn,MUTAG,1,0,0,10,0.1,32,32,0.001,100,0.0,0.0,,,,,77,0.4274861216545105,0.8125,0.46456748247146606,0.8
gcn,MUTAG,1,0,1,10,0.1,32,32,0.001,100,0.0,0.0,,,,,3,0.688572347164154,0.875,0.6887919306755066,0.7
gcn,MUTAG,1,0,2,10,0.1,32,32,0.001,100,0.0,0.0,,,,,87,0.42953580617904663,0.8125,0.4570470452308655,0.8
gcn,MUTAG,1,0,3,10,0.1,32,32,0.001,100,0.0,0.0,,,,,97,0.42552828788757324,0.8125,0.46248340606689453,0.8
gcn,MUTAG,1,0,4,10,0.1,32,32,0.001,100,0.0,0.0,,,,,86,0.4388642907142639,0.8125,0.44951239228248596,0.8
gcn,MUTAG,2,0,0,10,0.1,32,32,0.001,100,0.0,0.0,,,,,75,0.543330729007721,0.8125,0.5009170174598694,0.75
gcn,MUTAG,2,0,1,10,0.1,32,32,0.001,100,0.0,0.0,,,,,83,0.5574005842208862,0.8125,0.5084010362625122,0.75
gcn,MUTAG,2,0,2,10,0.1,32,32,0.001,100,0.0,0.0,,,,,92,0.5615978240966797,0.8125,0.5174440145492554,0.75
gcn,MUTAG,2,0,3,10,0.1,32,32,0.001,100,0.0,0.0,,,,,81,0.5562698245048523,0.8125,0.5060297250747681,0.75
gcn,MUTAG,2,0,4,10,0.1,32,32,0.001,100,0.0,0.0,,,,,90,0.5583107471466064,0.8125,0.518429160118103,0.75
gcn,MUTAG,3,0,0,10,0.1,32,32,0.001,100,0.0,0.0,,,,,48,0.5298864245414734,0.75,0.48963791131973267,0.65
gcn,MUTAG,3,0,1,10,0.1,32,32,0.001,100,0.0,0.0,,,,,73,0.5378519296646118,0.75,0.4766823351383209,0.65
gcn,MUTAG,3,0,2,10,0.1,32,32,0.001,100,0.0,0.0,,,,,68,0.5451737642288208,0.75,0.46678727865219116,0.65
gcn,MUTAG,3,0,3,10,0.1,32,32,0.001,100,0.0,0.0,,,,,56,0.5397394299507141,0.75,0.4829276204109192,0.65
gcn,MUTAG,3,0,4,10,0.1,32,32,0.001,100,0.0,0.0,,,,,53,0.5314743518829346,0.75,0.49104833602905273,0.65
gcn,MUTAG,4,0,0,10,0.1,32,32,0.001,100,0.0,0.0,,,,,80,0.5579740405082703,0.75,0.5052423477172852,0.7
gcn,MUTAG,4,0,1,10,0.1,32,32,0.001,100,0.0,0.0,,,,,33,0.5637568235397339,0.8125,0.5278322100639343,0.7
gcn,MUTAG,4,0,2,10,0.1,32,32,0.001,100,0.0,0.0,,,,,34,0.5521515011787415,0.8125,0.5253864526748657,0.65
gcn,MUTAG,4,0,3,10,0.1,32,32,0.001,100,0.0,0.0,,,,,93,0.5561056733131409,0.75,0.5351597666740417,0.7
gcn,MUTAG,4,0,4,10,0.1,32,32,0.001,100,0.0,0.0,,,,,28,0.564757227897644,0.8125,0.5378235578536987,0.65
